Branch_ID|PLU|Class|Burui|DP2|Supplier_Code|SPLU|Description|Normal_Price|Current_Price|Disc_Percent|MinQty4Disc|Point|Constraint_Qty|Constraint_Amt|Constraint_Point|Constraint_Flag|Point_Item_Flag|Point_Spending_Flag|Get_Class_Flag|Flag|Margin|Last_Update|Unit_of_Measure|Article_Code|Long_Description|Brand|Package|Perishable|Store_Type
||LOC|RFPVGLOC0|SC|||CHERRY TOMATO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/06/03 00:00:00.000000000|KG|PMVEG0071|CHERRY TOMATO|LOCAL|0|0|1
|10000000000003|OTH|MORSEOTH0|SC|001474||BEARISTA BALI BRIDGE|250000.0|250000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/06/26 00:00:00.000000000|EA|MERB10|BEARISTA BALI BRIDGE|OTHERS|0|0|1
|1000000000035|BOX|NPKPKBOX9|SC|||PLASTIC BAG FOR SAND|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2019/10/04 00:00:00.000000000|EA|PA10002105|PLASTIC BAG FOR SANDWICHES|BOXES|0|0|1
|1000000000047|CUP|NPKPKCUP9|SC|||PAPER CUP PAPER SLEE|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2019/10/04 00:00:00.000000000|EA|PA10002117|PAPER CUP PAPER SLEEVE|CUPS|0|0|1
|10000080|JUI|FBVOBJUI0|SC|000010||BERRI ORANGE JUICE|21500.0|20000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|BOT|S10000080|BERRI ORANGE JUICE|JUICES|0|0|1
|10000081|JUI|FBVOBJUI0|SC|000010||BERRI JUICE APPLE|21500.0|20000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|BOT|S10000081|BERRI JUICE APPLE|JUICES|0|0|1
|100002836|OTH|NPKMIOTH9|SC|253115||GLASS BOTTLE 350ML L|7000.0|7000.0|0|0|0|0|0|0|0|0|0|0|1|0|2021/05/17 00:00:00.000000000|EA|PA10002836|GLASS BOTTLE 350ML LID BLACK|OTHERS|0|0|1
|10001236|BLB|FBVBSBLB0|SC|000062||CLASSIC FRAPPUCCINO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/06/19 00:00:00.000000000|EA|10001236|CLASSIC FRAPPUCCINO BLENDED COFF, TALL|BLENDED BEVERAGES BASE|0|0|1
|1000200000007|ZZZ|NAFF2ZZZ8|SC|||SERVICE CHARGE GENKI|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2020/03/30 00:00:00.000000000|EA|GK10002000|SERVICE CHARGE GENKI|NON MD|0|0|1
|1000207800006|ZZZ|NAFF2ZZZ8|SC|||SERVICE CHARGE PAUL|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|EA|PA10002078|SERVICE CHARGE PAUL|NON MD|0|0|1
|100028660|TAC|NPKCVTAC9|SC|||BAG SPUNBOUND PAUL|4545.0|6363.0|0|0|0|0|0|0|0|0|0|0|1|0|2021/05/25 00:00:00.000000000|EA|PA10002866|BAG SPUNBOUND PAUL|Takeaway Charge|0|0|1
|100028670|TAC|NPKCVTAC9|SC|253065||BAG SHOPPING PAUL LO|2727.0|2727.0|0|0|0|0|0|0|0|0|0|0|1|0|2021/05/25 00:00:00.000000000|EA|PA10002867|BAG SHOPPING PAUL LOCAL M|Takeaway Charge|0|0|1
|100028680|TAC|NPKCVTAC9|SC|253065||BAG SHOPPING PAUL LO|2727.0|2727.0|0|0|0|0|0|0|0|0|0|0|1|0|2021/06/02 00:00:00.000000000|EA|PA10002868|BAG SHOPPING PAUL LOCAL S|Takeaway Charge|0|0|1
|10002930|TAC|NPKCVTAC9|SC|253087||PAPER BAG GENKI SIZE|2727.0|3636.0|0|0|0|0|0|0|0|0|0|0|1|0|2021/05/07 00:00:00.000000000|PCS|GK10002930|PAPER BAG GENKI SIZE L|Takeaway Charge|0|0|1
|10002931|TAC|NPKCVTAC9|SC|253087||PAPER BAG GENKI SIZE|4545.0|4545.0|0|0|0|0|0|0|0|0|0|0|1|0|2021/05/07 00:00:00.000000000|PCS|GK10002931|PAPER BAG GENKI SIZE L TAKE AWAY|Takeaway Charge|0|0|1
|10002932|TAC|NPKCVTAC9|SC|253087||BAG PAPER GENKI SIZE|2727.0|3636.0|0|0|0|0|0|0|0|0|0|0|1|0|2021/05/07 00:00:00.000000000|PCS|GK10002932|BAG PAPER GENKI SIZE S|Takeaway Charge|0|0|1
|1000620F|SGC|FSUGCSGC0|SC|001351||DON'T USED|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/05/27 00:00:00.000000000|EA|G71000620F|DON'T USED|SUSHI GUNKAN COLD|0|0|1
|10041604355148|TUM|MHSSVTUM0|SC|000030||COLD CUP 24OZ SILVER|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/22 00:00:00.000000000|EA|S201214|COLD CUP 24OZ SILVER|TUMBLER|0|0|1
|10041604355155|TUM|MHSSVTUM0|SC|000030||COLD CUP 24OZ GLITTE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/22 00:00:00.000000000|EA|S201205|COLD CUP 24OZ GLITTERY PINK|TUMBLER|0|0|1
|10041604355162|TUM|MHSSVTUM0|SC|000030||COLD CUP 24OZ GLITTE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/22 00:00:00.000000000|EA|S201206|COLD CUP 24OZ GLITTERY BLUE|TUMBLER|0|0|1
|10041604355179|TUM|MHSSVTUM0|SC|000030||COLD CUP 24OZ TRANSL|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/22 00:00:00.000000000|EA|S201215|COLD CUP 24OZ TRANSLUCENT BLUE|TUMBLER|0|0|1
|10041604355186|TUM|MHSSVTUM0|SC|000030||COLD CUP 24OZ FROSTE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/22 00:00:00.000000000|EA|S201213|COLD CUP 24OZ FROSTED GREEN|TUMBLER|0|0|1
|10041604355193|TUM|MHSSVTUM0|SC|000030||COLD CUP 24OZ WHITE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/22 00:00:00.000000000|EA|S201203|COLD CUP 24OZ WHITE|TUMBLER|0|0|1
|10041604355209|TUM|MHSSVTUM0|SC|000030||COLD CUP 24OZ COOL G|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/22 00:00:00.000000000|EA|S201216|COLD CUP 24OZ COOL GREY|TUMBLER|0|0|1
|10041604356763|TUM|MHSSVTUM0|SC|||CCUP 24OZ TWINKLE RE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/04/29 00:00:00.000000000|EA|S10455004|CCUP 24OZ TWINKLE RED FLAG|TUMBLER|0|0|1
|10041604356770|TUM|MHSSVTUM0|SC|||CCUP 24OZ TWINKLE WH|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/04/29 00:00:00.000000000|EA|S10455005|CCUP 24OZ TWINKLE WHITE FLAG|TUMBLER|0|0|1
|10762111008197|VIA|MWBCOVIA0|SC|000047||VIE PIKE PLACE ROAST|88000.0|88000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11037745|VIE PIKE PLACE ROAST 12CT AP 6 UNT/PAC|VIA COFFEE|0|0|1
|10762111073348|VIA|MWBCOVIA0|SC|000047||VIA ITALIAN ROAST 12|88000.0|88000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11048092|VIA ITALIAN ROAST 12CT 6 UNT/PAC|VIA COFFEE|0|0|1
|10762111073393|VIA|MWBCOVIA0|SC|000047||VIA ITALIAN ROAST 3C|25000.0|25000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11048096|VIA ITALIAN ROAST 3CT 6 UNT/PAC|VIA COFFEE|0|0|1
|10762111289602|VIA|MWBCOVIA0|SC|000047||VIA VANILLA LATE 4CT|70000.0|70000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11087636|VIA VANILLA LATE 4CT 5 UNT/PAC|VIA COFFEE|0|0|1
|10762111289619|VIA|MWBCOVIA0|SC|000047||VIA CARAMEL 4CT 5 UN|70000.0|70000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/05 00:00:00.000000000|UNT|S11087638|VIA CARAMEL 4CT 5 UNT/PAC|VIA COFFEE|0|0|1
|10762111289626|VIA|MWBCOVIA0|SC|000047||VIA CAFE MOCHA LATTE|70000.0|70000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11087641|VIA CAFE MOCHA LATTE 4CT 5 UNT/PAC|VIA COFFEE|0|0|1
|10762111295085|VIA|MWBCOVIA0|SC|000047||VIA ICE COFFEE SWEET|37000.0|37000.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/02/23 00:00:00.000000000|UNT|S11089092|VIA ICE COFFEE SWEETEND 5CT 6 UNT/PAC|VIA COFFEE|0|0|1
|10762111939156|VIA|MWBCOVIA0|SC|000047||VIA COLOMBIA 12CT 6|88000.0|88000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11023539A|VIA COLOMBIA 12CT 6 UNT/PAC|VIA COFFEE|0|0|1
|10762111939200|VIA|MWBCOVIA0|SC|000047||VIA COLOMBIA 3CT 6 U|25000.0|25000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11023540A|VIA COLOMBIA 3CT 6 UNT/PAC|VIA COFFEE|0|0|1
|11000000000004|OTH|MORSEOTH0|SC|001474||BEARISTA BALI GROOM|250000.0|250000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/06/24 00:00:00.000000000|EA|MERB11|BEARISTA BALI GROOM|OTHERS|0|0|1
|110002862|BOX|NPKPKBOX9|SC|||BOX HAMPERS CHRISTMA|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2020/11/12 00:00:00.000000000|EA|PA10002862|BOX HAMPERS CHRISTMAS 2020 L RED GOLD FO|BOXES|0|0|1
|11003815A|TEA|RDMBBTEA0|SC|000027||MANGO PASSION FRUIT|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11003815A|MANGO PASSION FRUIT JUICE 1L 10/CV|TEA BASE|0|0|1
|11003939A|TEA|RDMBBTEA0|SC|000027||RASPBERRY BLACKCURRA|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11003939A|RASPBERRY BLACKCURRANT JUICE 1L 10/CV|TEA BASE|0|0|1
|11003960A|TEA|MPFCOTEA0|SC|||SBUX RTL AP/LA SPRMN|75000.0|75000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|EA|S11003960A|SBUX RTL AP/LA SPRMNT GRN SCI 4/CS|TEA BASE|0|0|1
|11009129B|PAP|NPKPKPAP9|SC|250197||BAG SHOPPER HOLIDAY|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|EA|S11009129B|BAG SHOPPER HOLIDAY 2015 (1CV= 250EA)|PAPER SUPPLIES|0|0|1
|11009129C|BAG|NPKPKBAG9|SC|250042||BAG SHOPPER HOLIDAY|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2019/10/10 00:00:00.000000000|EA|S11009129C|BAG SHOPPER HOLIDAY H-2019 (250EA/CV)|BAG|0|0|1
|11009130B|PAP|NPKPKPAP9|SC|250197||BAG PASTRY HOLIDAY 2|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|EA|S11009130B|BAG PASTRY HOLIDAY 2015 (1CV= 1000EA)|PAPER SUPPLIES|0|0|1
|11009130C|PAP|NPKPKPAP9|SC|250042||BAG PASTRY HOLIDAY H|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2020/02/17 00:00:00.000000000|EA|S11009130C|BAG PASTRY HOLIDAY H-2019 (2x500 EA)|PAPER SUPPLIES|0|0|1
|11009914|UTE|NSPSMUTE9|SC|||DID TOWER|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|EA|KK11009914|DID TOWER|UTENSIL/TOOLS|0|0|1
|11011280A|COF|MWBSECOF0|SC|||THREE REGION BLEND 2|110000.0|110000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|S11011280A|THREE REGION BLEND 250G WB|COFFEE BAN 1/2 LB|0|0|1
|11017010A|COF|MWBCOCOF0|SC|000047||PIKE PLACE 250G WB 1|95000.0|125000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11017010A|PIKE PLACE 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11017011A|COF|MWBCOCOF0|SC|000047||CAFFE VERONA 250G WB|95000.0|125000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11017011A|CAFFE VERONA 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11017015A|COF|MWBCOCOF0|SC|000047||HOUSE BLEND 250G WB|95000.0|125000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11017015A|HOUSE BLEND 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11017024A|COF|MWBCOCOF0|SC|000047||ESPRESSO 250G WB 12/|95000.0|125000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11017024A|ESPRESSO 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11017073A|COF|MWBCOCOF0|SC|000047||BREAKFAST BLEND 250G|95000.0|125000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11017073A|BREAKFAST BLEND 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11017826A|COF|MWBCOCOF0|SC|000047||KOMODO DRAGON 250G W|95000.0|150000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11017826A|KOMODO DRAGON 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11019855A|COF|MWBCOCOF0|SC|000047||VERANDA BLEND 250G W|95000.0|125000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11019855A|VERANDA BLEND 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11019856A|COF|MWBCOCOF0|SC|000047||SUMATRA 250G WB 12/C|95000.0|150000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11019856A|SUMATRA 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11019857A|COF|MWBCOCOF0|SC|000047||COLOMBIA 250G WB 12/|95000.0|150000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11019857A|COLOMBIA 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11019858A|COF|MWBCOCOF0|SC|000047||GUATEMALA 250G WB 12|95000.0|150000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11019858A|GUATEMALA 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11019859A|COF|MWBCOCOF0|SC|000047||KENYA 250G WB 12/CS|95000.0|150000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/26 00:00:00.000000000|UNT|S11019859A|KENYA 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11019861A|COF|MWBCOCOF0|SC|000047||ITALIAN 250G WB 12/C|95000.0|125000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/27 00:00:00.000000000|UNT|S11019861A|ITALIAN 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11020509A|COF|MWBSECOF0|SC|000047||BAG SCOOP 1/2 LB COF|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/06/25 00:00:00.000000000|EA|S11020509A|BAG SCOOP 1/2 LB COFFEE (25/PAC)|COFFEE BAN 1/2 LB|0|0|1
|11020510A|COF|MWBSECOF0|SC|000047||BAG SCOOP 1/4 LB COF|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/06/25 00:00:00.000000000|EA|S11020510A|BAG SCOOP 1/4 LB COFFEE (25/PAC)|COFFEE BAN 1/2 LB|0|0|1
|11023300A|TUM|MHSSVTUM0|SC|||CUP PLASTIC REUSABLE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/05/25 00:00:00.000000000|EA|S11023300A|CUP PLASTIC REUSABLE 16OZ|TUMBLER|0|0|1
|11023539A|VIA|MWBCOVIA0|SC|000047||VIA COLOMBIA 12CT 6|88000.0|88000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11023539A|VIA COLOMBIA 12CT 6 UNT/PAC|VIA COFFEE|0|0|1
|11023540A|VIA|MWBCOVIA0|SC|000047||VIA COLOMBIA 3CT 6 U|25000.0|25000.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11023540A|VIA COLOMBIA 3CT 6 UNT/PAC|VIA COFFEE|0|0|1
|11024582A|TUM|MHSSVTUM0|SC|000030||LID PLASTIC REUSEABL|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/31 00:00:00.000000000|EA|S11024582A|LID PLASTIC REUSEABLE CUP (25/PAC)|TUMBLER|0|0|1
|11029031A|TUM|MHSSVTUM0|SC|000047||TUMBLER ACRYLIC BURL|200000.0|200000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|EA|S11029031A|TUMBLER ACRYLIC BURLAP 16OZ|TUMBLER|0|0|1
|11029543A|COR|RRC5LCOR0|SC|000047||ESPRESSO 5LB WB 4/CS|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11029543A|ESPRESSO 5LB WB 4/CS|CORE|0|0|1
|11042132A|COF|MWBSECOF0|SC|000047||WB NICARAGUA CABO AZ|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|S11042132A|WB NICARAGUA CABO AZUL 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11044089A|COF|MWBSECOF0|SC|000047||ETHIOPIA KONGA 250G|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|S11044089A|ETHIOPIA KONGA 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11045950A|TEA|RDMBBTEA0|SC|000047||FRAPP MIX GROUND GRE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/10/02 00:00:00.000000000|UNT|S11045950A|FRAPP MIX GROUND GREEN TEA 1KGx9 UNT|TEA BASE|0|0|1
|11048585A|COF|MWBSECOF0|SC|000047||WB 250G PERU AMAZONA|165000.0|215000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|S11048585A|WB 250G PERU AMAZONA (1CV = 6 UNT)|COFFEE BAN 1/2 LB|0|0|1
|11048587A|COF|MWBSECOF0|SC|000047||EAST TIMOR 250G WB 1|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|S11048587A|EAST TIMOR 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11048589A|COF|MWBSECOF0|SC|000047||KENYA SANGAN 250G WB|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|S11048589A|KENYA SANGAN 250G WB 12/CS|COFFEE BAN 1/2 LB|0|0|1
|11048591A|COF|MWBSECOF0|SC|000047||WB 250G COLOMBIA TOL|165000.0|165000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|S11048591A|WB 250G COLOMBIA TOL (1CV = 12 UNT)|COFFEE BAN 1/2 LB|0|0|1
|11049119A|OTH|RDMBBOTH0|SC|000047||MANGO SOFT JELLY 1KG|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|S11049119A|MANGO SOFT JELLY 1KG  (1 CV = 12 UNT )|OTHERS|0|0|1
|11049551A|TEA|RDMBBTEA0|SC|000047||LEMON GINGER 48 OZ|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|S11049551A|LEMON GINGER 48 OZ  (1 CV = 6 UNT )|TEA BASE|0|0|1
|11052731A|OTH|MORSEOTH0|SC|000047||GWP TOTE BAG CANVAS|300000.0|300000.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|EA|S11052731A|GWP TOTE BAG CANVAS (50EA/CV)|OTHERS|0|0|1
|11057367A|TEA|RDMBBTEA0|SC|000047||TEAVANA FLT ENG BREA|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/27 00:00:00.000000000|EA|S11057367A|TEAVANA FLT ENG BREAKFAST 2PACx50EA|TEA BASE|0|0|1
|11057371A|TEA|RDMBBTEA0|SC|000047||TEAVANA FLT CITRUS M|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/02/23 00:00:00.000000000|EA|S11057371A|TEAVANA FLT CITRUS MINT 2PACx50EA|TEA BASE|0|0|1
|11057380A|TEA|RDMBBTEA0|SC|000047||TEAVANA FLT EARL GRE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/27 00:00:00.000000000|EA|S11057380A|TEAVANA FLT EARL GREY 2PACx50EA|TEA BASE|0|0|1
|11057384A|TEA|RDMBBTEA0|SC|000047||TEAVANA FLT MINT BLE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/27 00:00:00.000000000|EA|S11057384A|TEAVANA FLT MINT BLEND 2PACx50EA|TEA BASE|0|0|1
|11057386A|TEA|RDMBBTEA0|SC|000047||TEAVANA FLT CHAI 2PA|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/27 00:00:00.000000000|EA|S11057386A|TEAVANA FLT CHAI 2PACx50EA|TEA BASE|0|0|1
|11057387A|TEA|RDMBBTEA0|SC|000047||TEAVANA FLT CHAMOMIL|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/03/27 00:00:00.000000000|EA|S11057387A|TEAVANA FLT CHAMOMILE 2PACx50EA|TEA BASE|0|0|1
|11057676A|SBC|MORACSBC0|SC|000047||CARD, EASTER CUT 201|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|EA|S11057676A|CARD, EASTER CUT 2016 (15/PAC)|STARBUCKS CARD|0|0|1
|11076531|TUM|MHSSVTUM0|SC|000047||TMBLR SS RESERVE MER|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/08/13 00:00:00.000000000|EA|S11076531|TMBLR SS RESERVE MERCURY 12OZ|TUMBLER|0|0|1
|11086661A|COF|MWBSECOF0|SC|000047||WB BRAZIL IP ESTATE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/03/04 00:00:00.000000000|UNT|S11086661A|WB BRAZIL IP ESTATE 250G (6/CV)|COFFEE BAN 1/2 LB|0|0|1
|11099603A|TUM|MHSSVTUM0|SC|000030||COLDCUP LID 16 OZ RE|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/24 00:00:00.000000000|EA|S11099603A|COLDCUP LID 16 OZ REUSBL (25/PAC)|TUMBLER|0|0|1
|11101070A|COF|MWBSECOF0|SC|000047||WB BALI BATUR VOLCAN|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/02/17 00:00:00.000000000|UNT|S11101070A|WB BALI BATUR VOLCANO 250G (6/CV)|COFFEE BAN 1/2 LB|0|0|1
|13028784191303|MKT|MHSSWMKT0|SC|000061||TALL SIZE MUG 12OZ R|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/06/26 00:00:00.000000000|EA|MERD303|TALL SIZE MUG 12OZ R LOTUS LOGO - DEWATA|IDO MARKET|0|0|1
|13028804191304|MKT|MHSSWMKT0|SC|000061||DEMITASSE 3,5OZ R LO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/06/26 00:00:00.000000000|EA|MERD304|DEMITASSE 3,5OZ R LOTUS LOGO - DEWATA|IDO MARKET|0|0|1
|13029254119302|MKT|MHSSWMKT0|SC|000061||DEMITASSE 3,5OZ R LO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/06/26 00:00:00.000000000|EA|MERD301|DEMITASSE 3,5OZ R LOGO - DEWATA|IDO MARKET|0|0|1
|13029514119303|MKT|MHSSWMKT0|SC|000061||TALL SIZE MUG 12OZ R|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2020/06/26 00:00:00.000000000|EA|MERD302|TALL SIZE MUG 12OZ R LOGO-DEWATA|IDO MARKET|0|0|1
|15038029473|SPA|NSPSMSPA9|SC|250227||PART DECORATOR TIP P|0.0|0.0|0|0|0|0|0|0|0|0|0|0|1|0|2020/07/16 00:00:00.000000000|EA|177806|PART DECORATOR TIP PROFI|SPAREPART|0|0|1
|155556|COF|MWBCOCOF0|SC|000047||COLOMBIA SUPREMO|76500.0|76500.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|155556|COLOMBIA SUPREMO|COFFEE BAN 1/2 LB|0|0|1
|155557|COF|MWBCOCOF0|SC|000047||DECAF HOUSE BLEND 80|82500.0|82500.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|155557|DECAF HOUSE BLEND 80Z|COFFEE BAN 1/2 LB|0|0|1
|155560|COF|MWBCOCOF0|SC|000047||DECAF SUMATRA 8OZ|82500.0|82500.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|155560|DECAF SUMATRA 8OZ|COFFEE BAN 1/2 LB|0|0|1
|155561|COF|MWBCOCOF0|SC|000047||ESPRESSO 8OZ|76500.0|76500.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|155561|ESPRESSO 8OZ|COFFEE BAN 1/2 LB|0|0|1
|155562|COF|MWBCOCOF0|SC|000047||FRENCH ROAST 8OZ|76500.0|76500.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|155562|FRENCH ROAST 8OZ|COFFEE BAN 1/2 LB|0|0|1
|155564|COF|MWBCOCOF0|SC|000047||GUATEMALA 8OZ|76500.0|76500.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|155564|GUATEMALA 8OZ|COFFEE BAN 1/2 LB|0|0|1
|155565|COF|MWBCOCOF0|SC|000047||HIUSE BLEND 8OZ|76500.0|76500.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/03/21 00:00:00.000000000|UNT|155565|HIUSE BLEND 8OZ|COFFEE BAN 1/2 LB|0|0|1
